Device Type,GPS Coordinates,Panic Button Activation,Incident Type,Response Time (minutes),Response Outcome,Date,Time,Day,Location Type,Age,Emergency Contact Status
Panic Button Device,"(15.668009, 80.025328)",Yes,Teasing,24,Unresolved,23-05-2024,04:08,Thursday,Moderate-risk Zone,41,Notified with Delay
Mobile,"(15.533888, 80.050499)",No,Teasing,5,In Progress,30-04-2024,19:56,Tuesday,Safe Zone,36,Notified with Delay
Panic Button Device,"(15.66851, 80.16022)",Yes,Teasing,28,Resolved,22-09-2024,16:24,Sunday,Safe Zone,27,Notified with Confirmation
Smartwatch,"(15.549644, 80.043265)",Yes,Assault,28,Resolved,14-09-2024,06:36,Saturday,Moderate-risk Zone,41,Notified
Smartwatch,"(15.687058, 80.093442)",Yes,Assault,21,In Progress,16-12-2024,05:57,Monday,Moderate-risk Zone,19,Notified
Panic Button Device,"(15.628361, 80.100204)",No,Teasing,16,Unresolved,15-09-2024,15:39,Sunday,High-risk Zone,43,Notified
Panic Button Device,"(15.560974, 80.004127)",No,Assault,16,Unresolved,13-02-2024,12:25,Tuesday,Safe Zone,30,Notified
Smartwatch,"(15.607132, 80.170297)",No,Assault,21,Unresolved,20-11-2024,07:17,Wednesday,High-risk Zone,18,Notified with Confirmation
Panic Button Device,"(15.505349, 80.118695)",Yes,Assault,22,Unresolved,24-01-2024,09:40,Wednesday,Safe Zone,29,Notified with Confirmation
Panic Button Device,"(15.655887, 80.117116)",No,Assault,12,In Progress,12-12-2024,06:10,Thursday,High-risk Zone,34,Notified with Confirmation
Mobile,"(15.643322, 80.050031)",Yes,Assault,30,Unresolved,05-07-2024,00:49,Friday,Safe Zone,35,Notified with Confirmation
Smartwatch,"(15.551128, 80.009411)",No,Teasing,5,In Progress,26-04-2024,13:46,Friday,High-risk Zone,34,Notified
Panic Button Device,"(15.638303, 80.077733)",Yes,Assault,19,In Progress,25-11-2024,08:03,Monday,High-risk Zone,26,Notified
Panic Button Device,"(15.602271, 80.002802)",Yes,Teasing,28,Unresolved,08-09-2024,16:10,Sunday,High-risk Zone,23,Notified with Confirmation
Panic Button Device,"(15.699985, 80.071706)",Yes,Teasing,21,Unresolved,10-06-2024,18:35,Monday,High-risk Zone,17,Notified with Confirmation
Smartwatch,"(15.670538, 80.067757)",Yes,Teasing,28,Unresolved,16-02-2024,03:41,Friday,High-risk Zone,16,Notified with Confirmation
Mobile,"(15.662711, 80.064174)",No,Assault,4,Unresolved,27-01-2024,19:18,Saturday,Moderate-risk Zone,41,Notified
Mobile,"(15.541473, 80.127013)",Yes,Assault,16,Unresolved,11-01-2024,16:56,Thursday,Safe Zone,16,Notified with Delay
Smartwatch,"(15.697081, 80.038307)",Yes,Teasing,14,Resolved,25-04-2024,18:28,Thursday,Moderate-risk Zone,44,Notified
Panic Button Device,"(15.520091, 80.047232)",No,Assault,14,Unresolved,25-01-2024,02:38,Thursday,High-risk Zone,21,Notified with Confirmation
Mobile,"(15.657032, 80.150914)",No,Assault,12,Resolved,19-07-2024,21:17,Friday,Safe Zone,38,Notified with Delay
Mobile,"(15.555133, 80.169456)",No,Assault,12,Resolved,31-10-2024,18:15,Thursday,High-risk Zone,36,Notified
Panic Button Device,"(15.650697, 80.198085)",No,Assault,3,Unresolved,29-03-2024,16:51,Friday,High-risk Zone,42,Notified with Confirmation
Panic Button Device,"(15.566867, 80.10563)",Yes,Assault,22,In Progress,02-06-2024,14:38,Sunday,Safe Zone,42,Notified with Confirmation
Smartwatch,"(15.650977, 80.141968)",No,Assault,5,In Progress,22-08-2024,18:05,Thursday,Moderate-risk Zone,20,Notified with Confirmation
Panic Button Device,"(15.53284, 80.046229)",No,Assault,29,Resolved,05-07-2024,18:03,Friday,High-risk Zone,20,Notified with Delay
Mobile,"(15.514826, 80.008044)",No,Teasing,9,Resolved,20-02-2024,02:23,Tuesday,Moderate-risk Zone,20,Notified with Delay
Panic Button Device,"(15.503108, 80.033615)",Yes,Assault,17,Unresolved,24-03-2024,04:38,Sunday,Moderate-risk Zone,42,Notified with Delay
Panic Button Device,"(15.536277, 80.179235)",No,Assault,27,Unresolved,28-06-2024,05:55,Friday,Safe Zone,30,Notified
Panic Button Device,"(15.623571, 80.10593)",No,Assault,21,Unresolved,08-05-2024,13:55,Wednesday,High-risk Zone,17,Notified with Delay
Mobile,"(15.699139, 80.148773)",No,Assault,16,Resolved,06-04-2024,09:12,Saturday,Safe Zone,38,Notified with Delay
Mobile,"(15.675215, 80.149631)",Yes,Assault,30,Unresolved,16-11-2024,17:05,Saturday,Safe Zone,41,Notified with Delay
Smartwatch,"(15.687759, 80.021077)",Yes,Teasing,10,Resolved,13-06-2024,03:56,Thursday,High-risk Zone,24,Notified
Mobile,"(15.601027, 80.098503)",No,Teasing,18,Resolved,18-01-2024,10:36,Thursday,High-risk Zone,16,Notified
Panic Button Device,"(15.649142, 80.015561)",No,Assault,28,Unresolved,10-05-2024,17:08,Friday,Moderate-risk Zone,19,Notified with Delay
Mobile,"(15.573331, 80.113559)",No,Assault,16,Unresolved,25-09-2024,12:13,Wednesday,Safe Zone,43,Notified with Confirmation
Panic Button Device,"(15.573634, 80.057974)",No,Teasing,16,Unresolved,27-03-2024,14:06,Wednesday,Moderate-risk Zone,21,Notified
Mobile,"(15.697146, 80.06389)",No,Assault,19,Unresolved,19-06-2024,05:01,Wednesday,High-risk Zone,15,Notified
Smartwatch,"(15.577248, 80.104082)",Yes,Assault,29,In Progress,08-08-2024,07:33,Thursday,Safe Zone,27,Notified with Confirmation
Panic Button Device,"(15.649479, 80.008441)",Yes,Teasing,7,Resolved,19-03-2024,00:58,Tuesday,Moderate-risk Zone,44,Notified with Delay
Mobile,"(15.603436, 80.195065)",Yes,Teasing,21,Unresolved,10-03-2024,18:44,Sunday,High-risk Zone,42,Notified with Confirmation
Panic Button Device,"(15.608935, 80.120926)",Yes,Teasing,28,In Progress,03-12-2024,07:11,Tuesday,High-risk Zone,45,Notified with Confirmation
Mobile,"(15.576998, 80.016087)",No,Assault,6,In Progress,16-07-2024,20:09,Tuesday,Safe Zone,15,Notified with Confirmation
Mobile,"(15.502603, 80.03874)",No,Assault,25,In Progress,03-02-2024,04:38,Saturday,Moderate-risk Zone,19,Notified
Panic Button Device,"(15.599966, 80.139486)",Yes,Teasing,17,Unresolved,27-08-2024,14:38,Tuesday,Safe Zone,23,Notified with Confirmation
Panic Button Device,"(15.645346, 80.077388)",Yes,Teasing,14,Resolved,25-07-2024,21:45,Thursday,Safe Zone,30,Notified with Confirmation
Smartwatch,"(15.679913, 80.060013)",No,Teasing,17,Unresolved,05-07-2024,06:56,Friday,Safe Zone,19,Notified
Panic Button Device,"(15.503142, 80.176167)",Yes,Teasing,16,In Progress,23-07-2024,01:18,Tuesday,High-risk Zone,21,Notified
Mobile,"(15.691673, 80.192673)",No,Teasing,6,Resolved,20-01-2024,17:09,Saturday,Safe Zone,39,Notified with Confirmation
Mobile,"(15.576776, 80.03616)",No,Teasing,18,Unresolved,09-02-2024,01:13,Friday,Moderate-risk Zone,34,Notified with Confirmation
Smartwatch,"(15.505037, 80.126773)",No,Assault,23,Resolved,11-03-2024,16:37,Monday,Moderate-risk Zone,39,Notified with Delay
Panic Button Device,"(15.582645, 80.188449)",Yes,Teasing,19,Resolved,12-11-2024,14:08,Tuesday,Safe Zone,34,Notified with Confirmation
Panic Button Device,"(15.61171, 80.170201)",Yes,Assault,14,Resolved,22-03-2024,17:28,Friday,High-risk Zone,38,Notified with Delay
Mobile,"(15.667465, 80.093376)",Yes,Assault,20,Unresolved,04-12-2024,22:31,Wednesday,Safe Zone,42,Notified with Confirmation
Smartwatch,"(15.592813, 80.02397)",No,Assault,13,Resolved,30-10-2024,09:12,Wednesday,Moderate-risk Zone,30,Notified with Delay
Panic Button Device,"(15.695879, 80.094264)",Yes,Assault,9,Unresolved,20-04-2024,06:28,Saturday,Safe Zone,31,Notified with Confirmation
Smartwatch,"(15.567648, 80.022442)",Yes,Assault,8,In Progress,21-02-2024,05:07,Wednesday,High-risk Zone,18,Notified with Confirmation
Smartwatch,"(15.630853, 80.005358)",Yes,Teasing,14,In Progress,22-09-2024,14:27,Sunday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.552636, 80.06101)",Yes,Teasing,10,Resolved,10-10-2024,10:15,Thursday,Moderate-risk Zone,21,Notified with Confirmation
Mobile,"(15.52747, 80.145922)",Yes,Teasing,21,In Progress,31-12-2024,00:02,Tuesday,Moderate-risk Zone,42,Notified with Delay
Panic Button Device,"(15.561955, 80.127128)",Yes,Assault,20,Unresolved,07-09-2024,11:36,Saturday,High-risk Zone,32,Notified with Confirmation
Mobile,"(15.555234, 80.050816)",No,Teasing,12,In Progress,29-01-2024,16:50,Monday,Moderate-risk Zone,26,Notified with Confirmation
Mobile,"(15.584738, 80.136014)",No,Assault,14,Unresolved,21-11-2024,16:42,Thursday,Moderate-risk Zone,27,Notified with Confirmation
Mobile,"(15.646015, 80.038825)",No,Assault,26,Resolved,03-11-2024,20:34,Sunday,High-risk Zone,15,Notified
Smartwatch,"(15.501443, 80.15078)",Yes,Teasing,4,In Progress,30-07-2024,13:28,Tuesday,High-risk Zone,31,Notified
Smartwatch,"(15.53653, 80.18868)",Yes,Assault,26,Unresolved,15-08-2024,18:49,Thursday,Safe Zone,41,Notified with Confirmation
Mobile,"(15.644968, 80.119954)",No,Teasing,28,Unresolved,18-02-2024,08:12,Sunday,Moderate-risk Zone,36,Notified with Delay
Panic Button Device,"(15.695532, 80.118082)",No,Assault,8,In Progress,22-02-2024,09:48,Thursday,High-risk Zone,23,Notified
Panic Button Device,"(15.669303, 80.113528)",Yes,Teasing,10,Unresolved,05-09-2024,04:16,Thursday,Safe Zone,26,Notified with Delay
Smartwatch,"(15.641441, 80.043127)",Yes,Teasing,12,In Progress,03-05-2024,00:52,Friday,Safe Zone,42,Notified
Smartwatch,"(15.53303, 80.101191)",No,Assault,11,Resolved,03-07-2024,00:13,Wednesday,High-risk Zone,26,Notified with Confirmation
Panic Button Device,"(15.552806, 80.124648)",Yes,Assault,4,Unresolved,12-12-2024,08:49,Thursday,Moderate-risk Zone,42,Notified with Confirmation
Mobile,"(15.64607, 80.002143)",No,Teasing,24,Resolved,28-04-2024,03:38,Sunday,Moderate-risk Zone,22,Notified with Confirmation
Smartwatch,"(15.568125, 80.184318)",No,Assault,23,Resolved,18-05-2024,22:50,Saturday,Moderate-risk Zone,40,Notified with Delay
Panic Button Device,"(15.507023, 80.192618)",Yes,Assault,24,Unresolved,04-06-2024,16:06,Tuesday,High-risk Zone,41,Notified with Delay
Panic Button Device,"(15.569741, 80.024918)",Yes,Assault,10,In Progress,07-08-2024,15:09,Wednesday,Safe Zone,41,Notified with Delay
Mobile,"(15.5533, 80.097037)",No,Teasing,22,Unresolved,21-03-2024,10:29,Thursday,High-risk Zone,21,Notified with Delay
Panic Button Device,"(15.656947, 80.120519)",Yes,Assault,23,Unresolved,21-04-2024,16:04,Sunday,Moderate-risk Zone,28,Notified with Delay
Smartwatch,"(15.52735, 80.108486)",No,Assault,19,Unresolved,18-01-2024,01:43,Thursday,Moderate-risk Zone,18,Notified with Delay
Smartwatch,"(15.603625, 80.070044)",No,Assault,4,In Progress,08-08-2024,19:20,Thursday,High-risk Zone,44,Notified
Smartwatch,"(15.632316, 80.030116)",Yes,Teasing,22,Resolved,25-09-2024,19:42,Wednesday,High-risk Zone,24,Notified with Confirmation
Mobile,"(15.531285, 80.149548)",No,Teasing,4,Resolved,02-05-2024,15:41,Thursday,Moderate-risk Zone,31,Notified with Delay
Smartwatch,"(15.639281, 80.039651)",Yes,Teasing,20,In Progress,26-03-2024,21:09,Tuesday,Safe Zone,29,Notified with Confirmation
Smartwatch,"(15.635507, 80.029395)",Yes,Assault,29,In Progress,01-09-2024,14:27,Sunday,Moderate-risk Zone,33,Notified with Confirmation
Mobile,"(15.636383, 80.119243)",No,Teasing,26,Unresolved,24-05-2024,02:32,Friday,Moderate-risk Zone,36,Notified with Confirmation
Panic Button Device,"(15.520271, 80.189751)",No,Teasing,30,Resolved,30-01-2024,03:26,Tuesday,High-risk Zone,40,Notified with Confirmation
Panic Button Device,"(15.59648, 80.128585)",No,Assault,5,In Progress,10-08-2024,23:50,Saturday,Safe Zone,39,Notified
Mobile,"(15.577417, 80.016736)",No,Assault,18,Resolved,06-01-2024,05:41,Saturday,Moderate-risk Zone,32,Notified
Mobile,"(15.664315, 80.159399)",Yes,Teasing,13,In Progress,24-01-2024,00:15,Wednesday,Moderate-risk Zone,44,Notified
Smartwatch,"(15.678887, 80.112606)",Yes,Assault,6,In Progress,15-07-2024,09:47,Monday,Safe Zone,42,Notified with Confirmation
Panic Button Device,"(15.629347, 80.161625)",Yes,Assault,2,Resolved,30-04-2024,04:39,Tuesday,Safe Zone,37,Notified
Panic Button Device,"(15.62912, 80.042777)",Yes,Assault,2,Resolved,27-06-2024,19:52,Thursday,High-risk Zone,43,Notified
Smartwatch,"(15.560132, 80.165136)",No,Assault,11,Unresolved,27-05-2024,01:09,Monday,Safe Zone,23,Notified with Confirmation
Smartwatch,"(15.51253, 80.056902)",No,Teasing,29,In Progress,13-05-2024,09:03,Monday,High-risk Zone,38,Notified with Confirmation
Panic Button Device,"(15.520901, 80.009672)",Yes,Teasing,8,Unresolved,25-06-2024,13:54,Tuesday,High-risk Zone,43,Notified
Panic Button Device,"(15.54217, 80.154214)",No,Assault,28,Resolved,02-04-2024,19:59,Tuesday,High-risk Zone,21,Notified
Mobile,"(15.578833, 80.117076)",Yes,Teasing,18,Resolved,31-03-2024,21:24,Sunday,High-risk Zone,20,Notified
Mobile,"(15.606113, 80.083401)",No,Teasing,16,Unresolved,06-06-2024,03:12,Thursday,Safe Zone,35,Notified with Confirmation
Mobile,"(15.566125, 80.020441)",No,Assault,28,Resolved,05-08-2024,21:15,Monday,Moderate-risk Zone,19,Notified with Delay
Mobile,"(15.657874, 80.10139)",Yes,Assault,29,Unresolved,12-10-2024,09:00,Saturday,Moderate-risk Zone,30,Notified with Delay
Panic Button Device,"(15.58406, 80.052155)",No,Teasing,12,In Progress,07-02-2024,10:33,Wednesday,High-risk Zone,40,Notified
Smartwatch,"(15.658121, 80.077104)",No,Teasing,3,Unresolved,12-09-2024,07:53,Thursday,Safe Zone,31,Notified
Smartwatch,"(15.631285, 80.176389)",Yes,Assault,28,In Progress,30-10-2024,15:29,Wednesday,Safe Zone,34,Notified with Delay
Smartwatch,"(15.613987, 80.04236)",No,Teasing,6,In Progress,20-04-2024,07:11,Saturday,Moderate-risk Zone,35,Notified
Panic Button Device,"(15.573612, 80.118076)",Yes,Assault,15,Unresolved,10-02-2024,16:35,Saturday,Moderate-risk Zone,35,Notified with Delay
Smartwatch,"(15.524919, 80.185602)",Yes,Teasing,22,Resolved,15-02-2024,14:50,Thursday,High-risk Zone,22,Notified with Delay
Mobile,"(15.533708, 80.0353)",No,Assault,26,Resolved,24-08-2024,10:12,Saturday,Moderate-risk Zone,21,Notified with Confirmation
Smartwatch,"(15.689897, 80.170269)",No,Teasing,30,Unresolved,02-06-2024,16:03,Sunday,Safe Zone,27,Notified
Panic Button Device,"(15.585827, 80.154292)",Yes,Teasing,4,Resolved,25-03-2024,21:42,Monday,Moderate-risk Zone,41,Notified with Confirmation
Smartwatch,"(15.530568, 80.095833)",No,Assault,27,Unresolved,16-12-2024,12:03,Monday,Safe Zone,26,Notified
Mobile,"(15.622586, 80.015499)",Yes,Assault,2,In Progress,15-04-2024,04:01,Monday,Moderate-risk Zone,43,Notified with Confirmation
Panic Button Device,"(15.544594, 80.147054)",No,Assault,5,Resolved,06-08-2024,10:45,Tuesday,Moderate-risk Zone,33,Notified with Delay
Mobile,"(15.532948, 80.065433)",Yes,Assault,26,Unresolved,01-11-2024,10:56,Friday,Moderate-risk Zone,27,Notified with Confirmation
Smartwatch,"(15.621452, 80.049781)",No,Teasing,6,Unresolved,22-11-2024,06:54,Friday,Safe Zone,33,Notified with Confirmation
Panic Button Device,"(15.547375, 80.015536)",No,Teasing,7,Unresolved,18-03-2024,04:55,Monday,High-risk Zone,44,Notified with Delay
Mobile,"(15.592227, 80.11515)",Yes,Assault,29,In Progress,25-02-2024,18:16,Sunday,Moderate-risk Zone,43,Notified
Smartwatch,"(15.561685, 80.178208)",Yes,Teasing,23,Unresolved,17-02-2024,10:29,Saturday,Moderate-risk Zone,16,Notified with Delay
Panic Button Device,"(15.564656, 80.135926)",Yes,Teasing,3,In Progress,27-08-2024,19:26,Tuesday,Safe Zone,45,Notified with Delay
Panic Button Device,"(15.512698, 80.176485)",Yes,Assault,30,In Progress,24-05-2024,22:28,Friday,Moderate-risk Zone,44,Notified
Panic Button Device,"(15.522136, 80.179592)",Yes,Teasing,27,Resolved,01-05-2024,01:06,Wednesday,High-risk Zone,31,Notified
Panic Button Device,"(15.543818, 80.093601)",No,Teasing,11,Unresolved,05-05-2024,12:12,Sunday,Safe Zone,40,Notified with Confirmation
Panic Button Device,"(15.687352, 80.089128)",Yes,Teasing,19,Resolved,18-12-2024,01:31,Wednesday,Safe Zone,26,Notified with Confirmation
Panic Button Device,"(15.610505, 80.166813)",No,Assault,7,In Progress,21-01-2024,21:54,Sunday,Moderate-risk Zone,27,Notified with Confirmation
Smartwatch,"(15.631725, 80.14787)",Yes,Assault,22,Resolved,09-06-2024,22:07,Sunday,Safe Zone,23,Notified with Delay
Mobile,"(15.575309, 80.19225)",No,Teasing,3,Resolved,08-07-2024,21:39,Monday,Safe Zone,22,Notified
Panic Button Device,"(15.598982, 80.199052)",Yes,Teasing,24,In Progress,04-08-2024,11:04,Sunday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.674962, 80.14405)",No,Teasing,21,In Progress,13-06-2024,14:07,Thursday,High-risk Zone,20,Notified with Delay
Panic Button Device,"(15.635941, 80.063775)",Yes,Assault,3,In Progress,12-05-2024,18:46,Sunday,Safe Zone,45,Notified with Confirmation
Mobile,"(15.539567, 80.127664)",Yes,Teasing,29,Unresolved,12-12-2024,19:26,Thursday,Safe Zone,26,Notified
Mobile,"(15.680336, 80.088469)",No,Teasing,28,In Progress,13-07-2024,11:23,Saturday,High-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.621356, 80.082712)",No,Teasing,11,In Progress,23-04-2024,21:47,Tuesday,High-risk Zone,42,Notified
Mobile,"(15.691351, 80.157454)",Yes,Teasing,17,In Progress,28-06-2024,11:29,Friday,Moderate-risk Zone,17,Notified with Delay
Smartwatch,"(15.678351, 80.188212)",No,Assault,29,In Progress,09-09-2024,08:39,Monday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.592483, 80.172727)",Yes,Teasing,22,Unresolved,23-08-2024,19:04,Friday,Moderate-risk Zone,34,Notified with Confirmation
Smartwatch,"(15.523668, 80.114305)",Yes,Teasing,21,Resolved,30-10-2024,04:49,Wednesday,Moderate-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.574428, 80.171239)",No,Teasing,11,Unresolved,15-11-2024,20:24,Friday,Safe Zone,45,Notified
Smartwatch,"(15.694226, 80.003426)",Yes,Assault,14,Resolved,07-10-2024,04:06,Monday,High-risk Zone,20,Notified with Delay
Panic Button Device,"(15.544962, 80.176407)",Yes,Teasing,9,Resolved,26-04-2024,08:41,Friday,Safe Zone,24,Notified with Delay
Panic Button Device,"(15.625202, 80.014981)",No,Teasing,18,Resolved,09-08-2024,21:24,Friday,High-risk Zone,31,Notified with Delay
Mobile,"(15.682624, 80.187998)",Yes,Teasing,25,Resolved,29-04-2024,19:38,Monday,Safe Zone,26,Notified
Smartwatch,"(15.652987, 80.109116)",No,Teasing,20,In Progress,03-03-2024,10:19,Sunday,High-risk Zone,15,Notified with Confirmation
Mobile,"(15.615005, 80.139834)",No,Assault,20,In Progress,21-04-2024,12:15,Sunday,High-risk Zone,25,Notified with Confirmation
Panic Button Device,"(15.678806, 80.15396)",No,Teasing,6,Resolved,27-11-2024,20:27,Wednesday,Safe Zone,21,Notified
Panic Button Device,"(15.502909, 80.02416)",No,Assault,3,Unresolved,18-11-2024,09:19,Monday,Safe Zone,27,Notified with Confirmation
Smartwatch,"(15.580031, 80.032994)",Yes,Teasing,20,Unresolved,14-04-2024,05:23,Sunday,Safe Zone,20,Notified with Delay
Smartwatch,"(15.55256, 80.197599)",No,Assault,24,Resolved,11-01-2024,00:33,Thursday,High-risk Zone,45,Notified
Panic Button Device,"(15.569246, 80.129234)",No,Teasing,28,Resolved,19-05-2024,08:51,Sunday,Moderate-risk Zone,42,Notified with Confirmation
Mobile,"(15.683635, 80.007873)",No,Assault,12,Unresolved,24-08-2024,08:20,Saturday,Moderate-risk Zone,19,Notified
Smartwatch,"(15.690646, 80.146332)",Yes,Assault,11,Unresolved,12-04-2024,06:22,Friday,Moderate-risk Zone,16,Notified with Confirmation
Smartwatch,"(15.655428, 80.175048)",No,Assault,5,Unresolved,01-01-2024,18:29,Monday,Safe Zone,43,Notified with Confirmation
Mobile,"(15.549941, 80.068467)",Yes,Teasing,8,In Progress,20-09-2024,09:35,Friday,Moderate-risk Zone,15,Notified
Smartwatch,"(15.587557, 80.034464)",No,Assault,5,Resolved,08-02-2024,00:17,Thursday,Safe Zone,29,Notified
Mobile,"(15.579689, 80.199591)",No,Assault,25,Resolved,31-10-2024,09:09,Thursday,Moderate-risk Zone,41,Notified with Delay
Panic Button Device,"(15.668178, 80.021559)",Yes,Teasing,28,Resolved,24-10-2024,20:24,Thursday,Moderate-risk Zone,36,Notified with Delay
Panic Button Device,"(15.582427, 80.134898)",No,Assault,17,Unresolved,17-06-2024,06:27,Monday,Moderate-risk Zone,25,Notified with Confirmation
Mobile,"(15.576519, 80.196437)",Yes,Teasing,14,In Progress,11-06-2024,21:03,Tuesday,Safe Zone,28,Notified
Smartwatch,"(15.563293, 80.11763)",Yes,Teasing,6,Resolved,30-03-2024,01:19,Saturday,Safe Zone,15,Notified
Smartwatch,"(15.619732, 80.073434)",Yes,Teasing,23,Resolved,13-07-2024,22:17,Saturday,High-risk Zone,39,Notified with Confirmation
Smartwatch,"(15.662457, 80.028083)",Yes,Teasing,29,Resolved,20-05-2024,08:35,Monday,High-risk Zone,38,Notified
Mobile,"(15.526679, 80.001338)",No,Assault,16,In Progress,11-08-2024,22:45,Sunday,High-risk Zone,27,Notified with Confirmation
Mobile,"(15.697892, 80.112661)",Yes,Teasing,24,In Progress,26-10-2024,16:37,Saturday,High-risk Zone,40,Notified with Confirmation
Smartwatch,"(15.583358, 80.142655)",No,Teasing,15,Resolved,27-08-2024,19:30,Tuesday,Safe Zone,34,Notified
Mobile,"(15.57208, 80.164902)",No,Assault,24,In Progress,21-03-2024,11:26,Thursday,High-risk Zone,39,Notified
Smartwatch,"(15.552433, 80.115374)",No,Teasing,5,Resolved,21-05-2024,13:11,Tuesday,High-risk Zone,25,Notified with Confirmation
Panic Button Device,"(15.573888, 80.171691)",No,Teasing,5,Unresolved,26-08-2024,20:16,Monday,Moderate-risk Zone,33,Notified with Confirmation
Mobile,"(15.689658, 80.097423)",Yes,Teasing,24,Resolved,26-03-2024,03:35,Tuesday,Safe Zone,44,Notified
Mobile,"(15.675538, 80.093588)",Yes,Teasing,3,Unresolved,21-11-2024,02:45,Thursday,High-risk Zone,18,Notified with Delay
Smartwatch,"(15.616319, 80.08087)",No,Teasing,10,Unresolved,07-12-2024,17:03,Saturday,Safe Zone,42,Notified with Confirmation
Panic Button Device,"(15.592605, 80.1594)",Yes,Teasing,10,In Progress,02-07-2024,08:30,Tuesday,High-risk Zone,40,Notified with Confirmation
Mobile,"(15.596808, 80.095569)",No,Assault,19,Resolved,23-10-2024,06:08,Wednesday,Moderate-risk Zone,29,Notified with Delay
Smartwatch,"(15.666316, 80.082103)",No,Assault,7,In Progress,28-09-2024,15:53,Saturday,Safe Zone,34,Notified with Confirmation
Smartwatch,"(15.669532, 80.035925)",No,Teasing,3,In Progress,14-11-2024,11:29,Thursday,High-risk Zone,15,Notified with Delay
Mobile,"(15.583278, 80.083408)",Yes,Teasing,7,Unresolved,13-07-2024,21:16,Saturday,High-risk Zone,43,Notified with Confirmation
Mobile,"(15.538568, 80.022409)",No,Teasing,10,Resolved,18-01-2024,20:16,Thursday,Safe Zone,36,Notified
Smartwatch,"(15.682994, 80.009932)",Yes,Assault,29,Resolved,24-05-2024,21:32,Friday,Safe Zone,28,Notified with Delay
Smartwatch,"(15.581897, 80.001835)",Yes,Assault,28,In Progress,30-08-2024,13:55,Friday,Moderate-risk Zone,17,Notified with Confirmation
Mobile,"(15.512721, 80.091483)",No,Teasing,14,In Progress,22-02-2024,01:25,Thursday,Safe Zone,27,Notified with Delay
Panic Button Device,"(15.544574, 80.107232)",Yes,Assault,2,In Progress,10-07-2024,21:40,Wednesday,Moderate-risk Zone,42,Notified with Confirmation
Panic Button Device,"(15.523263, 80.167467)",No,Teasing,15,Unresolved,04-03-2024,21:46,Monday,Moderate-risk Zone,19,Notified
Panic Button Device,"(15.643085, 80.135437)",Yes,Assault,9,Unresolved,04-09-2024,19:26,Wednesday,High-risk Zone,42,Notified with Confirmation
Smartwatch,"(15.675535, 80.150821)",No,Teasing,8,Resolved,13-06-2024,14:50,Thursday,High-risk Zone,24,Notified with Delay
Mobile,"(15.523329, 80.043357)",No,Assault,7,In Progress,22-01-2024,03:24,Monday,Moderate-risk Zone,21,Notified with Delay
Mobile,"(15.547277, 80.14287)",Yes,Assault,20,Unresolved,13-11-2024,03:19,Wednesday,Moderate-risk Zone,36,Notified
Panic Button Device,"(15.67051, 80.004729)",Yes,Teasing,21,In Progress,23-12-2024,07:18,Monday,Moderate-risk Zone,27,Notified with Confirmation
Panic Button Device,"(15.529411, 80.145987)",No,Assault,3,In Progress,12-11-2024,06:37,Tuesday,Moderate-risk Zone,24,Notified with Delay
Smartwatch,"(15.595464, 80.045256)",No,Assault,23,Unresolved,04-03-2024,03:53,Monday,Safe Zone,38,Notified with Confirmation
Mobile,"(15.523955, 80.126039)",No,Teasing,17,In Progress,22-02-2024,18:30,Thursday,High-risk Zone,36,Notified with Delay
Panic Button Device,"(15.64908, 80.06638)",Yes,Assault,13,In Progress,04-12-2024,20:58,Wednesday,High-risk Zone,43,Notified with Confirmation
Mobile,"(15.674392, 80.039428)",Yes,Assault,21,Resolved,05-02-2024,06:05,Monday,High-risk Zone,22,Notified with Delay
Smartwatch,"(15.538772, 80.107187)",No,Teasing,7,Unresolved,23-07-2024,14:55,Tuesday,Safe Zone,21,Notified
Smartwatch,"(15.589903, 80.109687)",No,Assault,5,Resolved,20-09-2024,10:57,Friday,Safe Zone,18,Notified with Confirmation
Panic Button Device,"(15.536037, 80.156185)",No,Teasing,19,In Progress,23-09-2024,03:21,Monday,High-risk Zone,38,Notified with Confirmation
Panic Button Device,"(15.68287, 80.106105)",No,Teasing,20,Unresolved,22-06-2024,21:10,Saturday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.559618, 80.122003)",No,Assault,13,Unresolved,08-07-2024,11:40,Monday,Safe Zone,20,Notified with Delay
Smartwatch,"(15.600496, 80.046658)",No,Teasing,23,In Progress,13-08-2024,08:10,Tuesday,Moderate-risk Zone,35,Notified with Confirmation
Mobile,"(15.577006, 80.159864)",Yes,Assault,27,Resolved,27-10-2024,03:43,Sunday,High-risk Zone,41,Notified with Confirmation
Mobile,"(15.574502, 80.179685)",Yes,Teasing,19,Resolved,14-11-2024,17:15,Thursday,High-risk Zone,36,Notified with Delay
Mobile,"(15.69828, 80.155758)",Yes,Teasing,2,Resolved,18-12-2024,03:51,Wednesday,Moderate-risk Zone,32,Notified
Smartwatch,"(15.54529, 80.046598)",No,Teasing,16,In Progress,27-07-2024,07:53,Saturday,Moderate-risk Zone,31,Notified with Confirmation
